plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,plume_png_object,plume_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
ang20220514t190736-B,37.998189,-121.936714,2022-05-14T19:07:36+00,Solid Waste (6A),CH4,mf,"[-121.94251047482223, 37.992738783443954, -121.9289795265499, 38.00335483339218]",ang,,,1553.155303,644.1104291,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220514t195506-A,37.499975,-122.408403,2022-05-14T19:55:06+00,Solid Waste (6A),CH4,mf,"[-122.41505005076817, 37.49437855431115, -122.40172636774993, 37.504902221756915]",ang,,,,,,,,,,AVIRIS-NG,NASA-JPL
ang20220514t195506-B,37.504692,-122.408806,2022-05-14T19:55:06+00,Solid Waste (6A),CH4,mf,"[-122.414953062955, 37.49925299488698, -122.40168761495813, 37.50977654596984]",ang,,,,,,,,,,AVIRIS-NG,NASA-JPL
ang20220514t200013-A,37.502525,-122.410349,2022-05-14T20:00:13+00,Solid Waste (6A),CH4,mf,"[-122.41736782953555, 37.49774261143125, -122.40384752765826, 37.508468541915995]",ang,,,,,,,,,,AVIRIS-NG,NASA-JPL
ang20220520t180916-A,35.516012,-119.03859,2022-05-20T18:09:16+00,Oil & Gas (1B2),CH4,mf,"[-119.04053509440492, 35.51202357307109, -119.03209392854687, 35.51889433437512]",ang,,,172.164214,42.9463111,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t180916-B,35.509477,-119.03649,2022-05-20T18:09:16+00,Oil & Gas (1B2),CH4,mf,"[-119.03962962081339, 35.506898646430066, -119.0328294649923, 35.512434092515825]",ang,,,209.603505,42.7202021,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t181509-A,35.4733898,-119.05806,2022-05-20T18:15:09+00,Oil & Gas (1B2),CH4,mf,"[-119.06132622687906, 35.470551173796494, -119.05430835549323, 35.476266422541435]",ang,,,48.7312314,21.1204418,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t181509-B,35.4571785,-119.05461,2022-05-20T18:15:09+00,Oil & Gas (1B2),CH4,mf,"[-119.05798765414725, 35.45455433063591, -119.05097107729223, 35.460294838542524]",ang,,,74.200737,40.4355464,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t185319-A,35.280223,-119.60304,2022-05-20T18:53:19+00,Oil & Gas (1B2),CH4,mf,"[-119.60593868713433, 35.27664395924817, -119.5987558893459, 35.28250758972422]",ang,,,69.7457338,30.9205326,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t185319-B,35.27826,-119.60072,2022-05-20T18:53:19+00,Oil & Gas (1B2),CH4,mf,"[-119.60399754710825, 35.274521146162144, -119.59687668073674, 35.280309208925054]",ang,,,248.769625,49.2486602,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t185319-C,35.266172,-119.59412,2022-05-20T18:53:19+00,Oil & Gas (1B2),CH4,mf,"[-119.59842842975361, 35.26348915759734, -119.5913085524302, 35.2692772046354]",ang,,,157.892365,62.001433,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t185319-D,35.2595684,-119.58534,2022-05-20T18:53:19+00,Oil & Gas (1B2),CH4,mf,"[-119.58866346433744, 35.25645150969191, -119.58154424651603, 35.26223952325791]",ang,,,67.6894084,24.4400361,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t192245-A,35.2752559,-119.38915,2022-05-20T19:22:45+00,Oil & Gas (1B2),CH4,mf,"[-119.39231412888054, 35.27100884880292, -119.38547531545406, 35.27661634200996]",ang,,,302.398486,129.164667,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t192905-A,35.286338,-119.51016,2022-05-20T19:29:05+00,Oil & Gas (1B2),CH4,mf,"[-119.51343400662847, 35.28335613120316, -119.50659453397652, 35.28893903729763]",ang,,,127.759239,37.6774376,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t192905-B,35.281003,-119.51221,2022-05-20T19:29:05+00,Oil & Gas (1B2),CH4,mf,"[-119.51581573934267, 35.27783068933956, -119.50897681384907, 35.28343780214011]",ang,,,73.6811864,17.6030414,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t193549-A,35.2809864,-119.51223,2022-05-20T19:35:49+00,Oil & Gas (1B2),CH4,mf,"[-119.51538526922194, 35.27808274356303, -119.5087996242032, 35.28348218634439]",ang,,,62.5748363,15.3049921,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t193549-B,35.2803742,-119.50938,2022-05-20T19:35:49+00,Oil & Gas (1B2),CH4,mf,"[-119.5125386235563, 35.27753243204765, -119.50595301249635, 35.28293188367756]",ang,,,93.6843957,15.1788999,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t193549-C,35.283498,-119.50984,2022-05-20T19:35:49+00,Oil & Gas (1B2),CH4,mf,"[-119.51277122544325, 35.280433769700124, -119.50618538108591, 35.28583321914687]",ang,,,6.59754296,1.47148433,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t193549-D,35.2862287,-119.51027,2022-05-20T19:35:49+00,Oil & Gas (1B2),CH4,mf,"[-119.51345510662081, 35.2831382531773, -119.5068690464766, 35.28853769918274]",ang,,,56.528467,29.1990232,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t194728-A,35.2058407,-119.51772,2022-05-20T19:47:28+00,Oil & Gas (1B2),CH4,mf,"[-119.52109076292658, 35.202878237472525, -119.51422849654428, 35.20848531114371]",ang,,,125.899391,33.7999295,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t194728-B,35.17415,-119.45445,2022-05-20T19:47:28+00,Oil & Gas (1B2),CH4,mf,"[-119.45783655986756, 35.17139030015699, -119.45109540635268, 35.176924825674874]",ang,,,81.9051479,19.0507818,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t194728-C,35.153097,-119.40275,2022-05-20T19:47:28+00,Oil & Gas (1B2),CH4,mf,"[-119.4059579126322, 35.149161356364154, -119.39921839740208, 35.15469604929824]",ang,,,152.277973,50.6259776,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t195513-A,35.1219353,-119.47643,2022-05-20T19:55:13+00,Oil & Gas (1B2),CH4,mf,"[-119.47979267255074, 35.119133234741405, -119.4729965393085, 35.12466772105549]",ang,,,31.7942057,11.535447,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t195513-B,35.092728,-119.43503,2022-05-20T19:55:13+00,Oil & Gas (1B2),CH4,mf,"[-119.43838360817581, 35.08949889908302, -119.43158977212586, 35.09503352668694]",ang,,,144.642134,51.8112924,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t195513-C,35.046303,-119.38578,2022-05-20T19:55:13+00,Oil & Gas (1B2),CH4,mf,"[-119.38946105884908, 35.043739305638, -119.38261143876299, 35.049346992609266]",ang,,,54.7027086,14.9434602,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t201527-A,35.415136,-118.94524,2022-05-20T20:15:27+00,Oil & Gas (1B2),CH4,mf,"[-118.94555076057347, 35.414298111792036, -118.9435315218589, 35.41593834519233]",ang,,,36.5822931,17.2650226,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t201527-B,35.403011,-118.90452,2022-05-20T20:15:27+00,Oil & Gas (1B2),CH4,mf,"[-118.9052363477009, 35.40252410753014, -118.90368736221104, 35.403792074803306]",ang,,,20.4872615,18.7596687,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t201527-C,35.402876,-118.90491,2022-05-20T20:15:27+00,Oil & Gas (1B2),CH4,mf,"[-118.90566014522044, 35.402284833250796, -118.90411116457392, 35.40355280032281]",ang,,,9.57145425,4.19265843,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t202701-A,35.41516,-118.9452,2022-05-20T20:27:01+00,Oil & Gas (1B2),CH4,mf,"[-118.94642125040644, 35.41388006283026, -118.94336260055466, 35.416372785484064]",ang,,,39.7369615,29.4584246,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t202701-B,35.403002,-118.90452,2022-05-20T20:27:01+00,Oil & Gas (1B2),CH4,mf,"[-118.906016539635, 35.401887533560135, -118.90299800558638, 35.40433713836715]",ang,,,50.0846947,32.1755398,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220520t202701-C,35.402866,-118.90489,2022-05-20T20:27:01+00,Oil & Gas (1B2),CH4,mf,"[-118.90635461174536, 35.401644204763116, -118.90333605352878, 35.404104627743045]",ang,,,22.383964,14.2240424,,,,,hrrr,AVIRIS-NG,NASA-JPL
